timestamp,video_second,lane,queued_people_count,Q1_first_frame_m,Q2_avg_m,Q3_max_m,congestion_level,predicted_next_second_m,trend,estimated_wait_seconds
2026-09-06T19:06:31,0,Lane 1,0,0.0,0.61,1.1,LOW,1.1,STABLE,0.0
2026-09-06T19:06:31,0,Lane 2,0,0.0,0.95,1.65,LOW,1.65,STABLE,0.0
2026-09-06T19:06:31,0,Lane 3,2,0.0,0.89,2.2,MEDIUM,2.2,STABLE,30.0
2026-09-06T19:07:30,1,Lane 1,3,0.0,1.02,1.65,MEDIUM,1.65,STABLE,0.0
2026-09-06T19:07:30,1,Lane 2,3,0.0,1.33,2.2,MEDIUM,2.2,STABLE,90.0
2026-09-06T19:07:30,1,Lane 3,2,1.1,1.42,2.2,MEDIUM,2.2,STABLE,0.0
2026-09-06T19:08:34,2,Lane 1,4,1.65,1.97,2.75,MEDIUM,3.48,RISING,0.0
2026-09-06T19:08:34,2,Lane 2,3,1.65,1.65,1.65,LOW,1.83,STABLE,0.0
2026-09-06T19:08:34,2,Lane 3,2,1.1,0.97,1.1,LOW,0.73,FALLING,0.0
2026-09-06T19:09:32,3,Lane 1,2,2.75,1.57,2.75,MEDIUM,3.58,RISING,0.0
2026-09-06T19:09:32,3,Lane 2,3,1.65,1.27,1.65,LOW,1.65,STABLE,0.0
2026-09-06T19:09:32,3,Lane 3,2,1.1,1.1,1.1,LOW,0.55,FALLING,0.0
2026-09-06T19:10:06,4,Lane 1,4,1.1,1.52,2.2,MEDIUM,3.08,RISING,0.0
2026-09-06T19:10:06,4,Lane 2,3,1.65,1.42,1.65,LOW,1.59,STABLE,0.0
2026-09-06T19:10:06,4,Lane 3,2,1.1,1.1,1.1,LOW,0.55,FALLING,0.0
2026-09-06T19:10:18,5,Lane 1,2,2.2,1.97,2.2,MEDIUM,2.82,RISING,30.0
2026-09-06T19:10:18,5,Lane 2,3,1.65,1.65,1.65,LOW,1.58,STABLE,0.0
2026-09-06T19:10:18,5,Lane 3,4,1.1,1.04,2.2,MEDIUM,1.32,STABLE,0.0
2026-09-06T19:11:03,6,Lane 1,2,1.1,1.27,1.65,MEDIUM,2.36,STABLE,60.0
2026-09-06T19:11:03,6,Lane 2,3,1.65,1.52,1.65,LOW,1.57,STABLE,0.0
2026-09-06T19:11:03,6,Lane 3,4,2.2,1.9,2.2,MEDIUM,1.73,STABLE,0.0
2026-09-06T19:11:58,7,Lane 1,1,1.1,0.83,1.1,LOW,1.81,STABLE,30.0
2026-09-06T19:11:58,7,Lane 2,3,1.65,1.69,2.2,MEDIUM,1.85,STABLE,0.0
2026-09-06T19:11:58,7,Lane 3,1,2.2,1.29,2.2,MEDIUM,1.96,STABLE,0.0
2026-09-06T19:12:52,8,Lane 1,1,0.55,0.72,1.1,LOW,1.47,STABLE,0.0
2026-09-06T19:12:52,8,Lane 2,2,2.2,1.71,2.2,MEDIUM,2.02,STABLE,60.0
2026-09-06T19:12:52,8,Lane 3,3,0.55,1.88,2.75,MEDIUM,2.35,STABLE,45.0
2026-09-06T19:13:12,9,Lane 1,4,0.55,1.73,2.2,MEDIUM,1.69,STABLE,0.0
2026-09-06T19:13:12,9,Lane 2,3,1.1,1.5,1.65,LOW,1.91,STABLE,45.0
2026-09-06T19:13:12,9,Lane 3,2,1.65,1.16,1.65,LOW,2.16,STABLE,15.0
2026-09-06T19:13:26,10,Lane 1,3,2.2,2.05,2.75,MEDIUM,2.04,STABLE,90.0
2026-09-06T19:13:26,10,Lane 2,2,1.65,1.44,1.65,LOW,1.83,STABLE,30.0
2026-09-06T19:13:26,10,Lane 3,2,1.1,1.1,1.1,LOW,1.83,STABLE,20.0
