timestamp,video_second,lane,queued_people_count,Q1_first_frame_m,Q2_avg_m,Q3_max_m,congestion_level,predicted_next_second_m,trend,estimated_wait_seconds
2026-09-06T19:43:24,0,Lane 1,8,0.0,2.66,4.95,LOW,4.95,STABLE,240.0
2026-09-06T19:43:53,1,Lane 1,6,4.4,3.59,4.95,LOW,4.95,STABLE,90.0
2026-09-06T19:44:04,2,Lane 1,8,3.3,4.23,5.5,LOW,5.68,RISING,48.0
2026-09-06T19:44:29,3,Lane 1,10,4.4,4.95,6.05,LOW,6.33,RISING,300.0
2026-09-06T19:44:37,4,Lane 1,11,4.95,6.11,7.7,LOW,7.81,RISING,330.0
2026-09-06T19:44:45,5,Lane 1,12,5.5,6.49,7.15,LOW,8.03,RISING,360.0
2026-09-06T19:44:53,6,Lane 1,9,7.15,5.76,7.15,LOW,8.09,RISING,67.5
2026-09-06T19:45:01,7,Lane 1,8,4.95,5.0,6.05,LOW,7.54,RISING,48.0
2026-09-06T19:45:08,8,Lane 1,12,4.4,6.14,7.15,LOW,7.67,RISING,90.0
2026-09-06T19:45:16,9,Lane 1,12,6.6,6.2,7.15,LOW,7.74,RISING,72.0
2026-09-06T19:45:24,10,Lane 1,8,6.05,5.32,6.05,LOW,7.37,RISING,40.0
2026-09-06T19:45:32,11,Lane 1,8,4.4,5.19,6.6,LOW,7.28,STABLE,34.29
2026-09-06T19:45:41,12,Lane 1,14,4.95,7.59,8.25,LOW,7.72,RISING,52.5
2026-09-06T19:45:49,13,Lane 1,12,6.6,6.88,7.7,LOW,7.89,RISING,40.0
2026-09-06T19:45:57,14,Lane 1,10,6.6,6.42,7.7,LOW,8.01,RISING,30.0
