timestamp,video_second,lane,queued_people_count,Q1_first_frame_m,Q2_avg_m,Q3_max_m,congestion_level,predicted_next_second_m,trend,estimated_wait_seconds
2026-09-06T20:01:46,0,Lane 1,8,0.0,2.57,4.4,LOW,4.4,STABLE,240.0
2026-09-06T20:02:17,1,Lane 1,5,4.4,3.19,4.95,MEDIUM,4.95,STABLE,25.0
2026-09-06T20:02:54,2,Lane 1,7,2.75,3.02,3.85,LOW,3.85,FALLING,52.5
2026-09-06T20:03:11,3,Lane 1,6,3.85,3.61,4.4,LOW,4.12,STABLE,60.0
2026-09-06T20:03:18,4,Lane 1,6,3.3,3.37,3.85,LOW,3.79,FALLING,36.0
2026-09-06T20:03:25,5,Lane 1,6,3.3,3.45,3.85,LOW,3.67,FALLING,30.0
2026-09-06T20:03:32,6,Lane 1,7,3.3,3.56,3.85,LOW,3.61,STABLE,35.0
2026-09-06T20:03:39,7,Lane 1,5,3.85,3.19,3.85,LOW,3.59,STABLE,25.0
2026-09-06T20:03:45,8,Lane 1,7,2.75,3.45,3.85,LOW,3.59,STABLE,42.0
2026-09-06T20:03:52,9,Lane 1,7,3.85,3.3,3.85,LOW,3.59,STABLE,42.0
2026-09-06T20:03:58,10,Lane 1,4,2.75,2.99,3.3,LOW,3.4,STABLE,15.0
2026-09-06T20:04:04,11,Lane 1,4,2.2,2.92,3.85,LOW,3.45,STABLE,6.67
2026-09-06T20:04:11,12,Lane 1,9,2.2,4.05,4.95,MEDIUM,3.83,STABLE,12.86
2026-09-06T20:04:19,13,Lane 1,6,4.95,4.03,4.95,MEDIUM,4.12,STABLE,6.67
2026-09-06T20:04:26,14,Lane 1,6,3.85,3.63,4.95,MEDIUM,4.34,STABLE,5.45
